   -0.000805 -0.000797073    -0.999999
   -0.999969   0.00784104  0.000798725
   0.0078404     0.999969  -0.00080336
           0            0            0
   -0.368412      0.78165     0.503286
     0.55193     0.619531     -0.55817
   -0.748095    0.0721421    -0.659659
   -0.820848     0.614097     0.287291
   -0.796847     0.601351     0.058401
    0.253269     0.420228    -0.871357
   -0.548533    -0.679547    -0.487161
    -1.60134      1.01961     0.327883
   -0.713516     0.114907    -0.691153
   -0.209136      0.90656     0.366622
    0.668698     0.406136    -0.622813
    -2.57242      1.59934     0.283471
    0.594942      -0.6144    -0.518225
   -0.394616     0.338417    -0.854256
    0.700231     0.712732   -0.0411135
    -3.38257      2.08982     0.264269
    0.762448     0.290826     0.578007
   -0.380003    -0.521757     0.763785
    0.523708    -0.801991    -0.287298
    -4.13451      2.54739     0.452456
   -0.267499    -0.505055    -0.820587
   -0.533729     0.786703    -0.310213
    0.802233      0.35499    -0.480005
    -5.15252      3.02245      0.65718
    0.262251   -0.0576703    -0.963275
   -0.955233    -0.157177    -0.250652
   -0.136949     0.985885   -0.0963083
    -5.93796      3.58499     0.670495
    0.413572     0.391842     0.821838
    0.419785    -0.883048     0.209779
    0.807922     0.258237    -0.529694
    -5.40795      4.44935     0.686224
    0.451433    -0.853297     0.260944
   -0.871745    -0.359337     0.333072
   -0.190443    -0.377837    -0.906075
      -4.548      3.87277     0.584628
   -0.564637    -0.485764     0.667247
   -0.730514   -0.0821004    -0.677945
    0.384103    -0.870226    -0.308501
    -3.67133      3.39624     0.517649
    0.996457    0.0458527   -0.0705087
   0.0805241    -0.278032     0.957191
   0.0242861    -0.959477    -0.280739
    -2.83211      2.84816     0.458419
   -0.514401     0.416632     -0.74954
   -0.504809     0.559443     0.657412
    0.693224     0.716548   -0.0774585
     -2.0093      2.41042     0.419055
    0.182216    -0.605638     0.774597
   -0.981113    -0.164005     0.102566
   0.0649199    -0.778656    -0.624084
    -1.24136      1.87886     0.404874
 -0.00599338     0.369624     0.929162
    0.535843    -0.783329     0.315067
    0.844296     0.499774    -0.193366
   -0.380308      1.39582     0.291227
   -0.311918     0.810316    -0.496079
    0.941189     0.334904   -0.0447433
    0.129883    -0.480861    -0.867124
    0.498834     0.831486     0.205085
   -0.987132     0.152002   -0.0496549
   0.0500087     0.588399     0.807023
    0.151886     0.794155    -0.588429
     1.32878      0.17469     0.187236
   -0.229356     0.771982    -0.592824
    0.873227     0.432244     0.225033
    0.429966    -0.466057    -0.773253
     2.15623    -0.379759     0.155054
   -0.784545    -0.382797     0.487808
   -0.550403    0.0676161    -0.832157
    0.285563    -0.921355     -0.26374
      3.0238    -0.920817     0.095921
   -0.921058     0.314804      0.22924
    0.306122     0.221428     0.925883
    0.240712     0.922967    -0.300316
      3.8398     -1.38793    0.0996041
   -0.213252    -0.337821     0.916734
   -0.726829     0.681882    0.0822007
   -0.652873    -0.648779    -0.390951
     4.74075     -2.03256    0.0509843
    0.399362    -0.855289    -0.330138
   -0.890457    -0.447559    0.0823225
   -0.218166     0.261097    -0.940336
     5.57177      -2.5364    0.0171331
   -0.970832     -0.22621    0.0794682
   -0.211377      0.96395     0.161615
   -0.113162     0.140104    -0.983649
     6.46479      -3.1032    0.0333285
    0.970064    0.0297585      0.24102
   -0.190676    -0.521295     0.831802
    0.150396    -0.852857    -0.500015
     7.23329     -3.70343    -0.125034
    0.878886    -0.284146     0.383171
    0.288582    -0.322887    -0.901368
    0.379841     0.902776    -0.201781
     8.09461     -4.16377    -0.321308
     0.93506     0.145576    -0.323218
    0.349558      -0.2271     0.908975
   0.0589222    -0.962929     -0.26324
     9.04512     -4.70446    -0.382377
    0.659432     0.586625    -0.470128
    0.715984    -0.680718     0.154886
   -0.229165    -0.438741    -0.868901
     9.80363      -5.3425    -0.498454
   -0.288889     0.937927     0.191926
     0.76364     0.104844     0.637073
    0.577406     0.330606    -0.746527
     10.6536     -5.82723    -0.417755
  -0.0128835    0.0599896    -0.998116
    0.962775    -0.268789   -0.0285823
   -0.269997    -0.961329   -0.0542935
     11.2282     -5.03453    -0.371404
    0.682088     0.153906    -0.714891
 -0.00282228     -0.97704    -0.213036
   -0.731265     0.147327    -0.665993
     10.2962     -4.49609    -0.253686
   -0.223384    -0.887748     0.402496
   -0.858699   -0.0161632    -0.512225
    0.461233    -0.460045    -0.758698
     9.42296     -3.85695    -0.266888
   -0.387991     0.441578    -0.808994
     0.60088     0.786758     0.141261
    0.698861    -0.431301    -0.570591
     8.67504     -3.38331   -0.0866315
   -0.915004   -0.0821906     0.394984
   -0.402271     0.260492     -0.87768
   -0.030753    -0.961971    -0.271414
     7.82785     -2.89988   -0.0527315
    0.316699    -0.864398    -0.390536
    -0.83586   -0.0597025    -0.545686
    0.448373     0.499252    -0.741424
     6.87943     -2.24541    0.0713417
   -0.816928     0.474527       0.3278
   0.0934471     0.669763    -0.736672
   -0.569119    -0.571176    -0.591491
     6.05054     -1.72944      0.21752
   -0.905134    -0.179896    -0.385187
  -0.0737403     0.958757    -0.274494
    0.418682     -0.22005     -0.88107
     5.24362     -1.21837    0.0913076
    0.804555     0.593424    0.0232058
    0.510893    -0.671681    -0.536501
   -0.302786       0.4435    -0.843581
     4.46002    -0.603048     0.112048
   -0.821139    -0.565955    0.0736624
   -0.281596     0.514023     0.810237
   -0.496422     0.644574    -0.581455
     3.60236   -0.0488961     0.209808
   -0.604501    -0.283003    -0.744639
   -0.776217 -0.000866377     0.630466
   -0.179069     0.959119    -0.219148
     2.69192     0.499487     0.214152
   -0.587113    -0.702406     0.402398
   -0.534018   -0.0375177     -0.84464
    0.608378    -0.710787     -0.35307
     1.95151      1.11027     0.201747
   0.0808129     -0.61917    -0.781088
   -0.775147    -0.531681     0.341267
   -0.626592     0.577879    -0.522914
     1.06687      1.64101     0.360804
    0.294889    -0.367175    -0.882169
    0.683022    -0.564631     0.463328
   -0.668223    -0.739171     0.084285
    0.263429      2.09308     0.265683
   -0.579195    -0.747096     0.326162
   0.0234964     0.384639     0.922768
   -0.814851     0.542126    -0.205227
   -0.621283      2.62103     0.377516
    0.445453     0.791168    -0.419076
    0.878209    -0.477162    0.0326569
    -0.17413    -0.382584    -0.907363
     -1.4951      3.17396     0.523095
    0.231248     0.959374    -0.161632
    0.911106    -0.271815    -0.309842
   -0.341188   -0.0756137    -0.936949
    -2.35912      3.73236     0.489354
    0.826815    -0.365228    -0.427768
  -0.0811023    -0.829975     0.551873
   -0.556596    -0.421604    -0.715857
    -3.22211      4.18806     0.553062
    0.583836     0.578304    -0.569825
     0.16865    -0.772944    -0.611649
   -0.794162     0.261002    -0.548803
    -4.02764      4.82625     0.696397
    0.602073    -0.768155    -0.217821
   -0.265216    -0.449722     0.852884
   -0.753106    -0.455729    -0.474492
      -4.867      5.29058     0.764043
    0.851903    -0.284499     0.439684
    -0.40654     0.169993     0.897679
   -0.330132    -0.943484    0.0291575
    -4.30429      6.22075     0.684527
      -0.525     0.548841     0.650498
    0.432373     0.830319    -0.351602
   -0.733095    0.0966669    -0.673222
     -3.5671      5.59548     0.666196
   -0.890004     0.155174     0.428735
    0.431544     0.590217     0.682213
   -0.147185      0.79219     -0.59226
    -2.72551      5.12721     0.608366
    0.844534     0.523118     0.114501
    0.356804    -0.709138     0.608123
    0.399317    -0.472726    -0.785542
    -1.80348      4.55902     0.558199
   -0.488776    -0.843186     0.223908
   -0.800526      0.33146    -0.499293
     0.34678    -0.423287    -0.837002
    -1.01761      4.08367      0.50673
 -0.00674482    -0.266615    -0.963779
   -0.453104    -0.858368     0.240626
   -0.891432     0.438316    -0.115015
   -0.154382      3.47964     0.457036
    0.658831     0.561859    -0.500255
  -0.0922053    -0.599653    -0.794931
   -0.746619     0.569851    -0.343264
    0.644805      2.98062     0.383054
    0.564865     0.825152   0.00717519
    0.804102    -0.552366       0.2198
    0.185332    -0.118388    -0.975518
     1.54459      2.44882     0.363595
   -0.614966    -0.261243     0.744022
    0.637575     0.390487     0.664092
   -0.464021     0.882764   -0.0735743
     2.47802      1.89022     0.241196
   -0.571684     0.298056    -0.764421
  -0.0768497     0.908135     0.411564
    0.816867      0.29403    -0.496261
     3.28532      1.36302      0.27552
    0.217054     0.634076     0.742183
    0.903984    -0.417484       0.0923
    0.368375     0.650888    -0.663811
     4.08874     0.833469     0.305585
    0.534077     0.686417    -0.493552
    0.815213    -0.263425     0.515786
     0.22403    -0.677819    -0.700265
     4.96557     0.159307     0.175971
    0.231091     0.724698    -0.649161
    0.362966     0.554836     0.748607
    0.902692     -0.40862    -0.134823
     5.73022    -0.312266      0.20146
    0.261537     0.961095    0.0888515
    0.827734    -0.175989    -0.532808
   -0.496442     0.212894    -0.841559
     6.64499    -0.916746     0.228142
    0.663719     0.342332    -0.665046
   -0.216287    -0.763299    -0.608764
   -0.716029     0.547889    -0.432574
     7.45148     -1.48477     0.146276
   -0.725593    -0.327119    -0.605399
    0.414082     0.495101    -0.763814
    0.549592    -0.804902    -0.223788
      8.3301     -1.99976    -0.041875
    0.479333     0.818867    -0.315746
    0.180327       0.2602     0.948566
    0.858907    -0.511617   -0.0229414
     9.18365     -2.63182   -0.0489451
   -0.596731    -0.177965     0.782458
    0.126119     0.942178     0.310475
   -0.792469     0.283953    -0.539782
     9.95146     -3.10207     -0.11525
   -0.117245    -0.976446    -0.181126
   -0.886624    0.0207565     0.462025
   -0.447383     0.214761    -0.868174
     10.7814     -3.63259    -0.164008
   0.0561511     0.744205     0.665587
    0.981762    0.0801186    -0.172407
   -0.181632     0.663129    -0.726133
     11.6792     -4.14849    -0.212101
   -0.580783     0.130529     0.803525
   -0.501143     0.720526    -0.479269
   -0.641519    -0.681032    -0.353056
     12.2715     -3.22485    -0.120102
   -0.538395    -0.666763    -0.515324
   -0.677526   -0.0211283     0.735196
   -0.501089      0.74497    -0.440373
      11.428     -2.69823   -0.0714992
    0.548017    -0.813895     0.193007
  -0.0918231     0.170811     0.981016
   -0.831412    -0.555336    0.0188727
      10.533     -2.27155    0.0573844
    0.741783     -0.53026    -0.410587
    0.332631    -0.240713     0.911819
   -0.582335    -0.812946  -0.00217598
     9.68586     -1.71743    0.0268502
   -0.776508  -0.00404249     0.630094
    0.444407     0.705392       0.5522
   -0.446695     0.708806    -0.545946
     8.83337     -1.12589    0.0975011
    0.266237     0.442748     0.856208
    0.742551     0.472166    -0.475054
   -0.614602     0.762255    -0.203055
     7.90885    -0.652529     0.161667
    0.848343    0.0724978    -0.524461
      0.2108     -0.95493     0.208977
   -0.485673     -0.28784    -0.825391
     7.12496   -0.0041604     0.311043
    0.575912     -0.35975    -0.734102
    0.167069    -0.827227     0.536454
   -0.800258    -0.431596    -0.416307
     6.29632     0.613084     0.243032
    0.863253    -0.292546    -0.411352
   -0.497238    -0.352576    -0.792745
   0.0868816     0.888879    -0.449828
     5.52678      1.08686     0.209752
    0.615493    -0.637393     0.463572
    0.113034    -0.510713    -0.852288
    0.779995     0.576976    -0.242294
     4.62226      1.69256     0.341002
   -0.297417    -0.360357      0.88413
    -0.62052      0.77674     0.107846
   -0.725602    -0.516545    -0.454624
     3.80073      2.15113     0.364952
    -0.17992     -0.88783     0.423541
    -0.82548     0.370442     0.425859
   -0.534987    -0.273004    -0.799536
     2.97459      2.79123      0.38972
   -0.516459     0.610333    -0.600637
    0.855812     0.391853    -0.337694
   0.0292555    -0.688437    -0.724706
      2.1081      3.29554     0.342686
   -0.859465    -0.468724    -0.204006
   -0.262482    0.0621913     0.962931
   -0.438662     0.881153    -0.176483
     1.23762      3.74824     0.372532
   -0.680803    0.0205589    -0.732178
    0.729372     0.110831    -0.675081
   0.0672688    -0.993627   -0.0904489
    0.470991      4.30074     0.420679
   -0.416414    -0.899661    -0.131186
   -0.323686     0.281538    -0.903307
    0.849604    -0.333687    -0.408443
   -0.429559      4.91323       0.4915
    -0.21257    -0.956676    -0.198959
     -0.5215   -0.0611181      0.85106
   -0.826349     0.284667    -0.485914
    -1.33241      5.48747     0.646826
    0.204071    -0.940721     0.270921
   -0.966861    -0.150311     0.206362
   -0.153407    -0.304055    -0.940222
    -2.20394      5.98131      0.60485
   -0.697216   -0.0193974    -0.716599
   -0.185546     0.970452     0.154259
    0.692432     0.240514    -0.680213
    -2.94753      6.45567     0.678285
   0.0118864      0.41221    -0.911011
    0.988641    -0.141356   -0.0510608
   -0.149825    -0.900056    -0.409208
    -3.74589      7.07742     0.670357
    0.687462    -0.282669      0.66895
   -0.707714   -0.0541398     0.704422
   -0.162902    -0.957688    -0.237268
    -3.29614       7.9043     0.858065
    0.291868    -0.305008     0.906523
   -0.827357    -0.556052    0.0792908
    0.479889     -0.77316    -0.414644
    -2.37998      7.30578     0.718347
    0.920069     0.078036    -0.383906
   -0.188903    -0.770135    -0.609269
   -0.343204      0.63309    -0.693836
    -1.55243      6.92698     0.758517
   -0.916269   -0.0915962    -0.389951
   -0.377825     0.520964     0.765405
    0.133042      0.84865     -0.51195
   -0.751136      6.30374     0.746733
   -0.386823     0.485971    -0.783709
    0.914448    0.0925134    -0.393987
   -0.118962    -0.869065    -0.480181
   0.0575323      5.75842     0.547451
    0.343889      0.70018      0.62569
    0.347371    -0.713918     0.607992
    0.872395    0.0082649    -0.488731
     0.92055      5.17934     0.447899
    0.513078     0.798835    -0.314028
    0.787984    -0.293302     0.541345
     0.34034    -0.525202    -0.779956
      1.8167      4.58291     0.471423
   -0.637125    -0.671087     0.379096
   -0.372888     -0.16208    -0.913611
    0.674556    -0.723445    -0.146975
      2.6612      4.14863     0.458135
   -0.339467     0.795148     0.502495
    0.840207     0.496497    -0.218043
   -0.422864     0.348182    -0.836634
     3.41536      3.50262     0.469928
    0.396783    -0.910615      0.11551
   -0.614982    -0.357144    -0.703026
     0.68144     0.207913    -0.701721
     4.35296      2.95844     0.468023
   -0.391853     0.374597    -0.840315
    0.825572    -0.259948    -0.500858
   -0.406058    -0.890003    -0.207395
     5.19087       2.4196     0.351632
    0.718437    -0.651553     0.243571
   -0.442182    -0.698096    -0.563149
    0.536958     0.296884    -0.789643
     5.96842      1.95154     0.307524
    0.238833    -0.966125    0.0977799
   -0.886651    -0.258027     -0.38376
     0.39599   0.00495793    -0.918242
     6.74691      1.32096     0.321887
    0.620362     0.696217    -0.361155
    0.239257    -0.606509    -0.758223
   -0.746932     0.383964     -0.54283
     7.62346     0.778761     0.394747
   -0.518235    -0.812474     0.267055
   -0.812849     0.370832    -0.449177
    0.265912    -0.449855    -0.852597
     8.48866     0.181892     0.313375
     0.63128     0.239292     0.737716
   -0.522974    -0.571067     0.632757
    0.572699    -0.785253    -0.235359
     9.33666    -0.272707     0.252621
   -0.691624    -0.718095   -0.0774309
   -0.570464     0.477368     0.668349
   -0.442975     0.506418    -0.739807
     10.1215     -0.82577     0.156482
   -0.456374    -0.597607    -0.659233
   -0.613612      0.74791    -0.253203
    0.644363     0.288958    -0.708025
     11.0487     -1.41241   0.00735527
   -0.451492     0.890787     0.051503
    0.227038    0.0588689     0.972105
    0.862907     0.450591    -0.228822
     11.8972     -1.88341    0.0136728
   0.0300378    0.0960242    -0.994926
    0.585619     0.804957      0.09537
     0.81003    -0.585512   -0.0320544
     12.8577     -2.37939   -0.0397271
 -0.00914266    -0.662611    -0.748908
   -0.822458     0.430961    -0.371261
    0.568752     0.612551     -0.54891
     13.4169      -1.6297    -0.030917
   -0.090874     0.533502    -0.840903
    0.592241    -0.649898    -0.476323
    -0.80062    -0.541303    -0.256903
     12.3842     -1.04657    0.0849356
    -0.37678    -0.267256     0.886911
    -0.88282    -0.186308    -0.431183
    0.280475    -0.945444    -0.165741
     11.5823    -0.575703     0.168847
    0.558196     0.812245    -0.169337
    0.506981    -0.495459     -0.70533
     -0.6568     0.307862    -0.688356
     10.7468  -0.00155467     0.209217
   0.0565129      0.38277    -0.922114
    0.899398      -0.4205    -0.119429
   -0.433462    -0.822598    -0.368026
     9.93879     0.525664     0.271855
    0.567599     0.217791     0.793977
   -0.545125    -0.623288      0.56067
    0.616985    -0.751052    -0.235054
     9.06996      1.07576     0.309938
    0.865861    -0.290622    -0.407214
     -0.4891    -0.320595    -0.811172
    0.105194     0.901531    -0.419734
     8.16131      1.62152     0.337534
   -0.143983     0.290943     0.945844
    0.989577      0.04477     0.136869
 -0.00252439     0.955692    -0.294356
     7.36973       2.1681      0.42168
   -0.824494     0.518047    -0.227678
     0.55928     0.684793    -0.467188
  -0.0861131     -0.51253    -0.854341
     6.47382       2.7718     0.398829
    0.448569     0.117755    -0.885957
   -0.195318    -0.954406    -0.225744
   -0.872145     0.274305    -0.405117
     5.67659      3.30045     0.427223
   -0.760774    0.0438017    -0.647537
   -0.629414     0.193565     0.752576
    0.158304     0.980109     -0.11969
     4.85884      3.80091      0.65259
   -0.838915     0.258939     0.478719
    0.476883      0.77362     0.417247
   -0.262305     0.578328    -0.772485
     4.02251      4.25408     0.550285
    0.264014     0.407645    -0.874141
    0.497877     0.718621     0.485492
    0.826084    -0.563392   -0.0132309
      3.2704      4.77959     0.516779
    0.753573    -0.187566     0.630037
    0.346722    -0.700862    -0.623358
     0.55849     0.688194    -0.463118
     2.45679      5.37272     0.598701
    0.393544     0.910987    -0.123391
    0.915547    -0.376263     0.142128
   0.0830496    -0.168904    -0.982127
     1.63794      5.95386     0.635114
    0.917342    0.0515967     0.394743
    0.297653    -0.747352    -0.594027
    0.264362     0.662422    -0.700935
    0.708294      6.55542     0.670985
    0.830624    -0.302479    -0.467516
     0.22389    -0.587321     0.777771
   -0.509841    -0.750707    -0.420121
   -0.186678      7.04514     0.789964
    0.599713     0.594115      0.53607
    0.552811     -0.79195     0.259259
     0.57857     0.140865    -0.803377
     -1.0549      7.60996     0.855445
   -0.418597    -0.606364    -0.676091
   -0.802949     0.594933    -0.036436
    0.424322     0.527614    -0.735917
    -1.81826      8.12252     0.823003
    0.910061     -0.25639     0.325659
   -0.291392     0.162983     0.942617
   -0.294754    -0.952733    0.0736142
    -2.63961      8.71472     0.970611
    0.364508    -0.718718    -0.592096
   -0.598882     0.305967    -0.740084
    0.713074     0.624362      -0.3189
    -2.06094      9.56778      0.99846
    0.818206    -0.127799    -0.560541
    0.271559    -0.773457     0.572731
   -0.506749    -0.620832    -0.598142
    -1.25078      8.94022     0.926614
    0.406193    -0.397833    -0.822639
    -0.61304    -0.786239    0.0775302
   -0.677635     0.472819    -0.563252
   -0.460835       8.4227     0.848103
   -0.337639    -0.366529     0.866981
   -0.555973     0.820889     0.130524
   -0.759535    -0.437948    -0.480944
    0.353916      7.83346     0.864665
   -0.621311    -0.636153     0.457473
    0.154648     0.472796     0.867495
   -0.768151     0.609732    -0.195373
     1.19289      7.37215     0.797588
      0.2329     0.964426     0.125061
    0.455102    -0.221733      0.86239
    0.859442    -0.143935    -0.490554
     2.19015       6.8335     0.734924
    0.319296    -0.111602     0.941061
    0.414397    -0.876621    -0.244563
    0.852247     0.468061    -0.233653
     2.98434      6.25065     0.658251
    0.956033    -0.259509    -0.136586
   -0.162059    -0.855692     0.491456
   -0.244412    -0.447713    -0.860125
     3.70682       5.6244     0.649747
    0.851438     -0.33264     0.405467
   -0.416724    0.0403013     0.908139
   -0.318425    -0.942192    -0.104305
     4.52549      5.14341     0.611175
   -0.139776    -0.532836     0.834595
   -0.447451     0.785892     0.426804
   -0.883318    -0.313783    -0.348267
     5.29587       4.5996      0.61136
    0.991486   -0.0875206   -0.0964169
   -0.120512    -0.897213    -0.424837
  -0.0493245     0.432839    -0.900121
     6.26087      4.08132     0.433166
   -0.498495    -0.525024     0.689821
   -0.829615     0.519763    -0.203925
   -0.251478    -0.673941    -0.694667
     6.99836       3.5489     0.483701
    0.648848    -0.233959    -0.724058
   -0.754874    -0.317616    -0.573834
  -0.0957192     0.918903    -0.382694
     7.89931      3.03474     0.443148
   0.0503392    -0.449094     0.892066
   -0.443833     0.790095     0.422804
   -0.894695    -0.417211     -0.15955
     8.75274      2.56081     0.482207
   -0.689743    -0.505332    -0.518549
   -0.653127     0.125095     0.746844
   -0.312537     0.853809     -0.41633
     9.61673      1.92244     0.448135
    0.296353    -0.916467    -0.268818
   -0.954135    -0.271586    -0.125963
   0.0424334     0.293818    -0.954919
     10.5221       1.4401     0.422721
   -0.519734      0.56005    -0.645151
    0.836922     0.485427    -0.252829
    0.171577    -0.671345    -0.721011
     11.2363     0.961483      0.29037
     0.49557    0.0757512     0.865259
    0.806203    -0.410787    -0.425783
    0.323183     0.908579    -0.264644
     12.0321     0.362458     0.204501
   -0.645631     0.372507    -0.666633
   0.0440735     0.889678     0.454456
    0.762377      0.26403    -0.590821
     12.9334    -0.239601     0.100974
    0.991593    0.0944644    0.0884337
  -0.0277698    -0.512146     0.858449
    0.126384    -0.853688    -0.505217
     13.9418    -0.696429    0.0420952
    0.381293     0.914232    -0.137096
    0.839319    -0.404514    -0.363198
   -0.387504    0.0234171     -0.92157
     14.3234  -0.00216487     0.301594
    0.337826    -0.940548    -0.035248
   -0.735325     -0.28712     0.613888
   -0.587512    -0.181469    -0.788606
     13.4502     0.601992     0.233902
    0.314392     0.948632   -0.0354153
    0.880357    -0.277401     0.384733
    0.355146    -0.152135    -0.922348
     12.5301      1.19979        0.314
